mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin
18,8,307,130,3504,12,70,chevrolet
15,8,350,165,3693,11.5,70,buick
18,8,318,150,3436,11,70,plymouth
16,8,304,150,3433,12,70,amc
17,8,302,140,3449,10.5,70,ford
15,8,429,198,4341,10,70,ford
14,8,454,220,4354,9,70,chevrolet
14,8,440,215,4312,8.5,70,plymouth
14,8,455,225,4425,10,70,pontiac
15,8,390,190,3850,8.5,70,amc
15,8,383,170,3563,10,70,dodge
14,8,340,160,3609,8,70,plymouth
15,8,400,150,3761,9.5,70,chevrolet
14,8,455,225,3086,10,70,buick
24,4,113,95,2372,15,70,toyota
22,6,198,95,2833,15.5,70,plymouth
18,6,199,97,2774,15.5,70,amc
21,6,200,85,2587,16,70,ford
27,4,97,88,2130,14.5,70,datsun
26,4,97,46,1835,20.5,70,volkswagen
25,4,110,87,2672,17.5,70,peugeot
24,4,107,90,2430,14.5,70,audi
25,4,104,95,2375,17.5,70,saab
26,4,121,113,2234,12.5,70,bmw
21,6,199,90,2648,15,70,amc
10,8,360,215,4615,14,70,ford
10,8,307,200,4376,15,70,chevrolet
11,8,318,210,4382,13.5,70,dodge
9,8,304,193,4732,18.5,70,hi
27,4,97,88,2130,14.5,71,datsun
28,4,140,90,2264,15.5,71,chevrolet
25,4,113,95,2228,14,71,toyota
25,4,98,,2046,19,71,ford
19,6,232,100,2634,13,71,amc
16,6,225,105,3439,15.5,71,plymouth
17,6,250,100,3329,15.5,71,chevrolet
19,6,250,88,3302,15.5,71,ford
18,6,232,100,3288,15.5,71,amc
14,8,350,165,4209,12,71,chevrolet
14,8,400,175,4464,11.5,71,pontiac
14,8,351,153,4154,13.5,71,ford
14,8,318,150,4096,13,71,plymouth
12,8,383,180,4955,11.5,71,dodge
13,8,400,170,4746,12,71,ford
13,8,400,175,5140,12,71,pontiac
18,6,258,110,2962,13.5,71,amc
22,4,140,72,2408,19,71,chevrolet
19,6,250,100,3282,15,71,pontiac
18,6,250,88,3139,14.5,71,ford
23,4,122,86,2220,14,71,mercury
28,4,116,90,2123,14,71,opel
30,4,79,70,2074,19.5,71,peugeot
30,4,88,76,2065,14.5,71,fiat
31,4,71,65,1773,19,71,toyota
35,4,72,69,1613,18,71,datsun
27,4,97,60,1834,19,71,volkswagen
26,4,91,70,1955,20.5,71,plymouth
24,4,113,95,2278,15.5,72,toyota
25,4,97.5,80,2126,17,72,dodge
23,4,97,54,2254,23.5,72,volkswagen
20,4,140,90,2408,19.5,72,chevrolet
21,4,122,86,2226,16.5,72,ford
13,8,350,165,4274,12,72,chevrolet
14,8,400,175,4385,12,72,pontiac
15,8,318,150,4135,13.5,72,plymouth
14,8,351,153,4129,13,72,ford
17,8,304,150,3672,11.5,72,amc
11,8,429,208,4633,11,72,mercury
13,8,350,155,4502,13.5,72,buick
12,8,350,160,4456,13.5,72,oldsmobile
13,8,400,190,4422,12.5,72,chrysler
19,3,70,97,2330,13.5,72,mazda
15,8,304,150,3892,12.5,72,amc
13,8,307,130,4098,14,72,chevrolet
13,8,302,140,4294,16,72,ford
14,8,318,150,4077,14,72,plymouth
18,4,121,112,2933,14.5,72,volvo
22,4,121,76,2511,18,72,volkswagen
21,4,120,87,2979,19.5,72,peugeot
26,4,96,69,2189,18,72,renault
22,4,122,86,2395,16,72,ford
28,4,97,92,2288,17,72,datsun
23,4,120,97,2506,14.5,72,toyota
28,4,98,80,2164,15,72,dodge
27,4,97,88,2100,16.5,72,toyota
13,8,350,175,4100,13,73,buick
14,8,304,150,3672,11.5,73,amc
13,8,350,145,3988,13,73,chevrolet
14,8,302,137,4042,14.5,73,ford
15,8,318,150,3777,12.5,73,dodge
12,8,429,198,4952,11.5,73,mercury
13,8,400,150,4464,12,73,chevrolet
13,8,351,158,4363,13,73,ford
14,8,318,150,4237,14.5,73,plymouth
13,8,440,215,4735,11,73,chrysler
12,8,455,225,4951,11,73,buick
13,8,360,175,3821,11,73,amc
18,6,225,105,3121,16.5,73,plymouth
16,6,250,100,3278,18,73,chevrolet
18,6,232,100,2945,16,73,amc
18,6,250,88,3021,16.5,73,ford
23,6,198,95,2904,16,73,plymouth
26,4,97,46,1950,21,73,volkswagen
11,8,400,150,4997,14,73,chevrolet
12,8,400,167,4906,12.5,73,ford
13,8,360,170,4654,13,73,plymouth
12,8,350,180,4499,12.5,73,oldsmobile
18,6,232,100,2789,15,73,amc
20,4,97,88,2279,19,73,toyota
21,4,140,72,2401,19.5,73,chevrolet
